Title,Display Title,File Name,Description,Modified On,Copyright Notes,Additional Notes,Year Published,Reviewed On,Active,Duplicatable,Filesize,Collection Type,Author,Rights Holder,Rights Statement,Library User,Education Level,Subject,Subcategory,Keywords,Resource Type,Format,Language
Acute Lymphoblastic Leukemia in Children ,Acute Lymphoblastic Leukemia in Children ,Acute Lymphoblastic Leukemia in Children 2026.pdf,"This patient guideline explains the diagnosis, treatment, and supportive care for children and young adults with acute lymphoblastic leukemia (ALL). Created by the National Comprehensive Cancer Network (NCCN), it offers guidance for caregivers on clinical trials, side effects, and survivorship in a clear and supportive format. ",,,,2026,,True,False,2505305,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Community Member | Community Health Educator | Student | Nursing Student | Patient ,Adult | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Patient Education | Cancer  | cancer screening | Blood Cancer  | Leukemia  | Healthcare | Oncology | Diagnosis   | cancer diagnosis  | Guidelines | Clinical Guidelines | Education,Educational Fact Sheet,PDF,English
Acute Myeloid Leukemia ,Acute Myeloid Leukemia,Acute Myeloid Leukemia 2026.pdf,"This comprehensive patient guideline provides detailed information for patients diagnosed with acute myeloid leukemia (AML), including its subtypes such as APL and BPDCN. It explains testing, treatment phases, supportive care, and patients' rights in clear, accessible language based on the latest clinical guidelines. ",,,,2026,,True,False,3183884,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Health Professional | Nursing Student | Community Member | Patient  | Community Health Educator,Community Training  | Adult | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | cancer screening | Blood Cancer  | Leukemia  | Oncology | Patient Education | Guidelines | Clinical Guidelines | Diagnosis   | Education | Acute Myeloid Leukemia | AML | Healthcare | cancer diagnosis ,Educational Fact Sheet,PDF,English
Adrenal Tumors ,Adrenal Tumors,Adrenal Tumors 2026.pdf,"This patient guideline provides patient-friendly information on adrenal tumors, including diagnosis, treatment options, and supportive care. It addresses various tumor types, including adrenocortical carcinoma, pheochromocytoma, and others, with clear explanations of symptoms, tests, and treatment choices. ",,,,2026,,True,False,1959951,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community Health Educator | Health Professional | Health Educators,Adult Education | Community Training  | Undergraduate | Graduate/Professional | Adult,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Health | Adrenal Cancer  | Tumor | cancer screening | Oncology | Treatment | Patient Care | Healthcare | Education | Patient Education | Guidelines | Clinical Guidelines | management,Educational Fact Sheet,PDF,English
Anal Cancer ,Anal Cancer,Anal Cancer 2026.pdf,"This patient guideline provides patients with essential information about anal cancer, including risk factors, diagnosis, staging, treatment options, and survivorship care. It explains treatment strategies for both localized and metastatic disease and emphasizes patient empowerment and informed decision-making. ",,,,2026,,True,False,2359444,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved- permission granted to share for educational purposes,Adults | Student | Patient  | Community Member | Community Health Educator | Health Professional | Health Educators,Adult Education | Community Training  | Undergraduate | Graduate/Professional | Adult,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Anal Cancer | Health | Metastatic | cancer screening | Oncology | Treatment | Patient Education | Guidelines | Clinical Guidelines | management | Healthcare | Patient Care | Education,Educational Fact Sheet,PDF,English
Basal Cell Skin Cancer 2026,Basal Cell Skin Cancer,Basal Cell Skin Cancer 2026.pdf,"This patient guideline provides clear, easy-to-understand information for patients diagnosed with basal cell skin cancer. It explains the causes, risk factors, treatment options (including surgery, topical therapy, radiation, and clinical trials), and how to manage follow-up care and recurrence. ",,,,2026,,True,False,1210395,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Community Member | Student | Community Health Educator | Patient  | Health Educators | Health Professional,Adult Education | Adult | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Basal Cell | Skin Cancer | Skin   | cancer screening | Treatment | Oncology | Patient Care | Healthcare | Education | Patient Education | Guidelines | Clinical Guidelines | management,Educational Fact Sheet,PDF,English
Bladder Cancer 2026,Bladder Cancer,Bladder Cancer 2026.pdf,"This patient guideline offers detailed, easy-to-understand information for patients diagnosed with bladder cancer, including its types, staging, and treatment options. It provides step-by-step explanations of surgical, systemic, and supportive care strategies, as well as guidance on managing side effects and making informed treatment decisions. ",,,,2026,,True,False,2891106,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community Health Educator | Health Educators | Health Professional,Adult Education | Adult | Undergraduate | Graduate/Professional | Community Training ,General Medicine,Noncommunicable Diseases | Oncology,Bladder Cancer | Bladder | Cancer  | Health | Treatment | management | cancer screening | Oncology | Patient Care | Education | Healthcare | Patient Education | Guidelines | Clinical Guidelines,Educational Fact Sheet,PDF,English
Bone Cancer 2026,Bone Cancer,Bone Cancer 2026.pdf,"This comprehensive patient guideline provides patient-centered information on various types of bone cancer, including chondroscarcoma, osteosarcoma, Ewing sarcoma, chordoma, and giant cell tumor of bone. It explains the biology, diagnostic testing, staging, treatment options, and post-treatment care in an accessible and supportive treatment. ",,,,2026,,True,False,1565798,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community Health Educator | Health Educators | Health Professional,Adult | Adult Education | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Bone Cancer | Ewing Sarcoma | Tumor | cancer screening | Oncology | Treatment | management | Clinical Guidelines | Guidelines | Education | Patient Care | Healthcare,Educational Fact Sheet,PDF,English
Breast Cancer - Ductal Carcinoma in Situ ,Breast Cancer - Ductal Carcinoma in Situ,Breast Cancer - Ductal Carcinoma In Situ 2026.pdf,"This patient guideline explains ductal carcinoma in situ (DCIS), an early, noninvasive form of breast cancer. It provides information on testing, treatment options (including lumpectomy, mastectomy, and endocrine therapy), and follow-up care to help patients make informed decisions. ",,,,2026,,True,False,2170790,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Community Health Educator | Health Professional | Health Educators,Adult Education | Community Training  | Undergraduate | Graduate/Professional | Adult,General Medicine,Noncommunicable Diseases | Oncology,Cancer  | Breast Cancer | Ductal Carcinoma | Carcinoma | cancer screening | Oncology | Treatment | management | Patient Care | Healthcare | Education | Patient Education | Guidelines | Clinical Guidelines | Lumpectomy | Mastectomy,Educational Fact Sheet,PDF,English
Breast Cancer - Inflammatory Breast Cancer ,Breast Cancer - Inflammatory Breast Cancer,Breast Cancer - Inflammatory Breast Cancer 2026.pdf,"This patient guideline explains inflammatory breast cancer (IBC), a rare and aggressive form of breast cancer characterized by redness, swelling, and skin changes. It covers diagnosis, staging, treatment options, supportive care, and reconstruction choices using accessible language and visual aids. ",,,,2026,,True,False,2337794,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Health Educators | Health Professional | Community Health Educator,Adult Education | Adult | Community Training  | Undergraduate | Graduate/Professional,General Medicine,Noncommunicable Diseases | Oncology,Breast Cancer | Cancer  | Inflammatory | Health | Treatment | management | cancer screening | Oncology | Clinical Guidelines | Guidelines | Patient Care | Education | Patient Education,Educational Fact Sheet,PDF,English
Breast Cancer - Invasive Breast Cancer,Breast Cancer - Invasive Breast Cancer,Breast Cancer - Invasive Breast Cancer 2026.pdf,"This comprehensive patient guideline helps patients understand invasive breast cancer, including diagnosis, staging, treatment options (surgery, chemotherapy, endocrine therapy, radiation), and long-term survivorship care. It also explains HER2 and hormone receptor status, and offers practical advice on fertility, side effects, and decision-making. ",,,,2026,,True,False,3175369,Hopi Cancer Library ,National Comprehensive Cancer Network ,National Comprehensive Cancer Network ,All rights reserved - permission granted to share on SolarSPELL library for educational purposes only.,Adults | Student | Patient  | Community Member | Health Educators | Health Professional | Community Health Educator,Adult Education | Community Training  | Undergraduate | Graduate/Professional | Adult,General Medicine,Noncommunicable Diseases | Oncology,Breast Cancer | Cancer  | Chemotherapy | HER2 | Staging | Guidelines | Clinical education | Clinical Guidelines | Education | Patient Education | management | Treatment | Healthcare | cancer screening | Invasive,Educational Fact Sheet,PDF,English
